CONTROL_NUMBER,DONOR_AGE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,RECENT_STAR_STATUS,TARGET_B,MONTHS_SINCE_ORIGIN,IN_HOUSE,PEP_STAR,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_AVG_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LAST_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_VIETNAM_VETERANS,PER_CAPITA_INCOME,_NAME_,causes donated to last year,familiarity with programs,willingness to recommend
379,,?,?,,U,F,,0,0,89,0,1,A,1,12.5,2,0,18,22,51,85,10,8.5,10,15,18,85,2,343,162,77,0,8371,survey_value,0,0,5
383,,S,1,14,U,M,,0,0,41,0,0,A,1,19,2,0,15,28,68,163,9,18.11,28,20,15,85,6,2439,521,47,27,21808,survey_value,4,3,9
387,,T,2,40,U,F,2,0,1,5,0,0,A,3,5.4,5,2,20,15,43,70,12,5.83,7,5,18,85,,789,413,97,16,14123,survey_value,4,3,9
397,79,U,1,2,H,F,7,0,1,89,0,0,A,1,16,1,0,20,18,60,111,7,15.86,10,16,20,84,9,1857,594,93,9,27547,survey_value,3,2,8
403,58,?,?,,U,U,2,0,1,89,0,0,A,1,20,1,1,18,21,52,335,10,33.5,30,35,7,83,,765,408,89,0,15150,survey_value,0,0,5
412,,T,3,41,U,F,1,10,0,77,0,1,A,1,11.25,8,5,16,24,68,356,32,11.13,10,15,4,81,2,453,199,79,40,9591,survey_value,1,1,6
427,,C,2,28,U,M,,0,1,29,0,0,A,3,10,3,3,22,25,59,105,11,9.55,10,10,18,80,,709,256,75,9,13576,survey_value,3,3,8
438,45,T,2,40,H,F,6,0,0,89,0,0,A,1,25,2,1,18,30,72,159,12,13.25,20,25,6,81,8,1400,318,77,30,14928,survey_value,3,3,8
441,56,U,4,10,U,F,1,1,1,77,0,1,S,4,5,11,4,8,34,90,154,28,5.5,7,5,8,80,,550,91,10,46,10050,survey_value,5,4,10
458,80,T,2,37,U,F,,1,0,125,0,1,S,2,15,3,3,25,25,60,145,15,9.67,10,15,25,124,4,1688,325,70,28,16023,survey_value,1,1,6
478,82,T,2,36,H,F,5,3,0,137,0,1,A,1,10,6,5,19,45,120,321,42,7.64,11,10,6,130,3,550,218,80,26,10815,survey_value,5,4,10
511,82,S,1,15,U,F,4,0,1,89,0,0,A,1,13.33,3,1,17,22,58,100,10,10,10,10,6,78,4,1024,225,8,33,16782,survey_value,0,0,5
527,64,T,2,39,H,F,2,0,0,89,0,1,A,3,7.88,8,5,13,32,76,133,23,5.78,13,5,13,78,,684,282,61,26,13025,survey_value,5,4,10
532,,R,1,42,U,U,,0,0,29,0,0,N,1,20,1,1,24,16,36,110,7,15.71,10,20,24,78,,1039,525,92,50,19249,survey_value,2,2,7
539,75,S,1,14,H,M,5,0,0,89,0,0,A,1,33,1,0,26,23,54,173,6,28.83,8,33,26,78,,2003,909,98,33,32344,survey_value,3,2,8
542,,T,2,38,U,M,,0,1,89,0,0,A,1,15,1,0,24,16,38,44,7,6.29,12,15,24,77,,535,192,38,19,11878,survey_value,1,1,6
544,58,?,?,,U,F,2,11,0,89,0,1,A,1,11.67,3,1,18,38,97,142,16,8.88,10,15,18,78,1,266,222,80,0,9958,survey_value,2,2,7
545,48,S,2,18,H,F,2,0,0,137,0,0,A,2,13,4,1,17,39,90,152,14,10.86,11,10,17,111,8,1221,436,75,29,20091,survey_value,2,1,7
551,85,T,2,36,H,F,2,0,1,125,0,1,A,1,16,1,1,24,39,89,368,24,15.33,20,21,9,119,2,340,180,67,27,9343,survey_value,2,2,7
557,,R,2,48,H,F,2,0,1,77,0,0,A,1,11.27,11,7,11,25,78,328,37,8.86,12,11,4,77,2,789,200,81,19,9717,survey_value,2,2,7
564,59,C,1,24,H,F,7,0,0,89,0,1,A,1,30,4,4,16,25,56,210,10,21,45,18,16,79,,2573,582,82,54,19730,survey_value,2,2,7
576,47,T,1,35,H,F,7,0,0,77,0,0,A,1,25,1,0,25,21,48,141,7,20.14,12,25,25,76,,3770,564,83,32,30842,survey_value,4,4,9
578,,S,2,18,U,F,,0,1,89,0,1,A,2,12.5,4,1,17,23,58,96,13,7.38,12,10,4,78,,1821,454,79,36,17008,survey_value,5,4,10
583,76,?,?,,U,M,,1,0,137,0,1,S,2,8.5,4,1,21,37,95,144,33,4.36,8,10,21,129,2,303,161,74,0,8520,survey_value,2,1,7
591,80,T,2,37,H,M,5,0,1,113,0,1,A,1,29,5,4,16,43,108,315,12,26.25,20,20,16,109,3,711,223,97,5,14751,survey_value,3,3,8
598,42,U,3,8,H,M,5,0,0,77,0,0,A,1,25,1,1,24,23,51,165,7,23.57,5,25,24,76,7,480,343,82,19,17493,survey_value,0,0,5
603,70,C,1,23,U,F,,0,0,89,0,1,A,2,15.4,5,2,13,31,79,224,16,14,20,25,6,78,8,1459,377,66,14,19935,survey_value,4,3,9
616,,U,2,7,H,F,4,0,0,53,0,0,A,1,15,2,0,19,23,71,107,9,11.89,15,15,8,76,3,2475,281,22,17,14765,survey_value,5,4,10
621,,U,1,3,U,U,,0,0,77,0,0,A,1,37.5,2,2,20,16,38,210,7,30,15,25,4,76,,2440,362,36,34,17769,survey_value,4,3,9
626,56,T,2,36,H,M,4,1,0,29,0,1,S,4,8,6,5,18,17,45,60,8,7.5,5,10,18,75,,689,296,70,35,11819,survey_value,5,4,10
634,,U,3,8,U,F,1,1,0,137,0,1,S,4,5,7,4,18,41,104,235,47,5,0,5,18,130,1,1608,337,88,71,10580,survey_value,2,2,7
637,81,S,1,13,H,F,4,0,1,77,1,1,A,2,19.57,7,4,11,34,93,419,27,15.52,25,20,6,80,8,2865,534,92,14,24571,survey_value,3,3,8
640,70,C,3,31,U,F,,8,0,137,0,1,A,1,8,2,1,26,41,96,180,48,3.75,10,11,26,123,0,1781,105,11,0,5381,survey_value,2,2,7
646,63,T,1,35,H,M,5,13,0,137,0,1,A,1,9.83,6,2,13,42,116,237,30,7.9,6,9,7,122,9,1361,665,98,39,21294,survey_value,3,3,8
653,40,S,1,14,H,F,7,0,0,77,0,1,A,1,27.5,2,1,19,34,92,239,13,18.38,35,40,19,76,8,914,507,92,65,16840,survey_value,3,2,8
661,32,U,2,5,H,M,6,0,1,65,0,1,A,1,20.14,7,6,16,32,90,331,17,19.47,10,25,10,73,7,1801,495,79,26,18663,survey_value,3,3,8
665,53,T,2,40,H,F,3,0,0,41,0,0,A,2,18.33,3,0,16,29,75,164,12,13.67,10,15,16,73,5,742,369,89,32,13642,survey_value,3,3,8
672,,C,2,27,U,F,2,0,0,89,0,0,A,1,15.5,2,1,26,28,70,148,12,12.33,11,15,26,80,3,1720,299,53,54,14082,survey_value,4,3,9
675,82,T,1,34,H,F,5,1,1,113,0,1,S,2,13.5,2,1,21,32,87,205.08,23,8.92,14.92,15,21,100,7,1714,342,77,43,18534,survey_value,3,3,8
683,79,S,1,14,U,F,,2,1,137,0,1,N,3,5.1,10,7,20,51,131,247,52,4.75,7,5,20,118,9,2257,695,93,34,26427,survey_value,5,4,10
687,73,S,1,12,H,M,7,0,0,65,0,1,A,4,6.18,11,7,17,30,76,104,18,5.78,6,8,17,68,,1407,578,82,36,21162,survey_value,2,2,7
689,45,R,3,50,H,F,7,4,0,65,0,1,A,1,5.1,10,6,12,35,101,197,47,4.19,8,10,5,69,2,317,182,78,21,7839,survey_value,3,2,8
696,86,?,?,,U,F,,1,0,137,0,1,S,3,7.67,12,9,12,47,129,323,50,6.46,7,7,5,129,5,793,344,62,0,13429,survey_value,3,2,8
701,,R,2,45,U,F,,1,0,137,0,1,S,2,30,6,4,16,46,124,645,27,23.89,40,50,6,121,4,407,214,74,35,10149,survey_value,4,4,9
702,75,T,1,35,H,F,7,0,0,101,0,1,A,2,9.83,6,3,13,38,103,175,22,7.95,7,10,13,92,9,1125,550,90,18,28012,survey_value,0,0,5
706,54,T,2,36,H,F,5,0,0,77,0,0,A,1,15,1,0,24,17,46,97,11,8.82,10,15,24,68,,508,269,70,30,15080,survey_value,4,3,9
714,33,S,2,19,H,F,6,1,0,77,0,1,S,4,26.38,8,6,21,39,106,453,30,15.1,35,38,21,76,7,2051,417,67,43,13430,survey_value,3,2,8
718,75,C,2,27,H,F,3,0,1,101,0,0,A,1,40.67,3,1,18,31,86,361,16,22.56,40,36,18,105,2,1215,296,49,46,12319,survey_value,1,1,6
727,73,R,3,51,H,F,3,0,1,65,0,1,A,4,2.8,10,8,12,28,64,52,23,2.26,4,2,7,69,,240,232,77,23,10744,survey_value,5,4,10
740,,R,1,42,U,U,,7,0,113,0,1,A,1,11.5,4,2,16,32,80,105,16,6.56,17,15,4,105,0,1212,298,74,31,15314,survey_value,4,3,9
743,60,R,2,46,H,M,5,0,0,113,0,1,A,2,10.45,11,4,15,39,107,360,37,9.73,10,10,11,113,9,768,304,70,48,12793,survey_value,0,0,5
751,67,U,1,2,U,F,,3,1,125,0,1,A,1,10.25,4,3,23,45,107,192,25,7.68,9,10,23,122,8,2250,539,80,34,18081,survey_value,1,1,6
775,67,S,1,15,H,F,5,0,0,65,0,1,A,4,13,7,2,13,29,80,163,15,10.87,13,15,11,67,8,844,352,78,9,18534,survey_value,3,2,8
785,52,C,1,22,U,M,2,0,1,77,0,0,A,1,15,1,0,19,19,49,105,6,17.5,15,20,5,66,2,613,146,2,18,13209,survey_value,4,3,9
788,49,T,2,40,H,F,6,0,0,65,0,0,A,1,40,1,1,21,20,51,140,5,28,15,40,21,64,,864,404,86,36,13208,survey_value,1,1,6
790,71,R,2,46,U,M,5,0,1,77,0,1,A,1,15,1,0,18,24,67,92,11,8.36,12,15,18,68,4,580,286,78,34,12400,survey_value,0,0,5
793,87,S,2,17,H,F,5,0,1,125,0,1,E,1,14,4,1,15,37,103,214,21,10.19,18,16,15,123,5,1568,328,28,38,17761,survey_value,5,4,10
804,7,S,1,11,H,F,5,0,0,137,0,1,A,3,6,4,2,21,38,93,114,25,4.56,4,7,21,124,,1227,471,60,57,17179,survey_value,5,4,10
826,17,T,3,41,U,F,,0,0,65,0,1,A,1,13.11,9,8,12,22,72,220,19,11.58,11,16,4,65,1,348,178,80,36,10244,survey_value,5,4,10
836,86,S,1,13,H,M,6,0,0,65,0,0,A,1,29,2,0,26,18,45,148,6,24.67,16,31,26,64,9,1638,703,79,35,37099,survey_value,0,0,5
867,52,C,2,26,H,M,5,0,0,77,0,0,A,1,18,1,0,17,23,63,93,7,13.29,8,18,17,77,4,923,253,14,13,20273,survey_value,2,1,7
894,57,C,2,27,H,M,5,1,1,65,0,1,S,4,19.4,10,5,12,36,105,580,34,17.06,20,21,4,64,7,860,392,89,39,13088,survey_value,1,0,6
898,78,R,2,49,H,F,2,1,0,77,0,1,S,2,9.75,4,2,19,28,76,122,18,6.78,8,10,19,67,0,388,290,86,34,12373,survey_value,2,2,7
903,,C,2,25,U,F,1,0,0,41,0,1,A,3,5.75,4,4,16,13,33,42,10,4.2,9,5,16,64,,528,196,42,36,9075,survey_value,2,2,7
905,65,T,1,35,H,M,4,0,0,65,0,0,A,1,15,1,0,18,18,54,51,5,10.2,10,15,18,64,7,1629,483,87,35,15317,survey_value,4,4,9
908,57,T,2,38,H,F,7,0,0,65,0,0,A,1,19,2,0,21,27,70,155,12,12.92,17,20,21,64,,665,279,59,45,12235,survey_value,5,4,10
917,47,S,1,11,H,M,4,0,0,101,0,1,A,1,11.67,3,2,20,35,89,194,20,9.7,15,10,20,90,7,715,395,48,75,14175,survey_value,3,2,8
919,57,S,1,13,H,M,1,1,0,77,0,1,S,3,6.8,5,4,18,21,52,79,12,6.58,5,7,18,69,8,925,354,89,32,17549,survey_value,0,0,5
931,50,R,2,49,H,M,1,0,1,65,0,1,A,4,5.78,9,5,11,32,85,153,30,5.1,4,7,11,64,2,646,239,79,40,10757,survey_value,2,2,7
959,53,C,2,28,H,F,7,0,1,89,0,1,A,1,10,3,3,24,27,71,73,10,7.3,10,15,24,88,8,586,349,89,35,15304,survey_value,1,1,6
968,39,S,3,21,H,F,6,0,0,65,0,0,A,1,15,2,1,18,23,59,63,7,9,15,20,18,61,3,378,233,63,32,8807,survey_value,1,1,6
970,,R,2,45,U,F,1,0,0,77,0,1,A,4,5.25,4,3,16,30,76,91,18,5.06,1,5,16,65,,529,163,69,19,8222,survey_value,4,3,9
971,57,T,2,39,H,F,6,1,1,29,0,1,S,4,8.2,10,6,15,27,68,150,20,7.5,8,8,4,63,,695,222,67,26,9991,survey_value,4,3,9
985,82,S,1,12,H,F,5,1,0,89,0,1,S,2,13.33,3,2,24,23,62,110,10,11,10,15,18,88,9,1001,584,98,29,18826,survey_value,3,2,8
987,54,S,1,14,H,F,7,1,1,89,0,1,S,4,3.33,9,6,11,31,83,79,21,3.76,5,4,7,82,,2140,773,97,33,33069,survey_value,3,2,8
1006,66,R,2,46,H,F,5,1,1,137,0,1,S,1,15.29,7,4,16,44,115,530,35,15.14,23,15,6,127,3,385,207,78,36,12419,survey_value,2,1,7
1007,66,R,3,51,H,F,5,1,0,137,0,1,S,3,7.75,8,7,17,45,116,276,46,6,7,9,17,131,0,266,142,62,36,7906,survey_value,2,2,7
1012,75,T,1,35,H,M,5,1,1,137,0,1,S,2,15.43,7,5,17,45,114,342,28,12.21,15,13,5,122,9,1133,430,80,40,26361,survey_value,5,4,10
1030,39,R,2,49,H,F,2,1,0,137,0,1,S,3,9.14,7,5,20,33,91,269,50,5.38,10,9,20,130,1,459,315,94,45,10114,survey_value,2,1,7
1034,,C,1,23,H,M,4,0,1,77,0,0,A,3,13.29,7,4,19,35,96,271,22,12.32,14,15,18,75,6,1416,255,72,17,17990,survey_value,2,1,7
1042,,T,1,34,H,M,5,0,1,113,0,1,A,4,10.6,5,3,15,25,67,147,16,9.19,12,9,15,105,7,826,314,64,22,14958,survey_value,0,0,5
1048,50,R,1,42,H,M,5,14,0,137,0,1,A,1,22,1,0,18,35,86,202,29,6.97,19,22,18,126,7,585,250,73,46,10739,survey_value,3,2,8
1054,,T,2,38,U,F,,1,1,137,0,1,S,3,7.8,5,2,19,30,75,126,20,6.3,7,9,19,129,,1161,197,36,29,12764,survey_value,4,3,9
1064,69,S,1,14,U,M,,1,1,125,0,1,S,3,8.57,7,2,14,41,108,234,25,9.36,7,5,7,121,8,1437,583,97,55,18207,survey_value,5,4,10
1068,66,S,1,14,H,F,6,1,1,137,0,1,S,4,5.83,6,6,20,34,100,265,43,6.16,7,5,18,126,9,3528,814,96,27,25564,survey_value,0,0,5
1074,50,R,2,44,U,F,6,0,0,65,0,0,A,1,14.5,2,1,26,24,65,81,7,11.57,10,15,26,60,6,780,333,82,37,12811,survey_value,2,2,7
1085,63,R,2,44,H,F,4,4,0,125,0,1,A,1,11.43,7,6,12,34,92,284,26,10.92,20,15,12,124,7,714,437,87,27,14003,survey_value,5,4,10
1092,69,U,1,3,H,M,6,4,1,77,0,1,A,1,10.56,9,6,11,34,100,315,32,9.84,19,10,6,76,9,5817,931,84,8,91576,survey_value,3,3,8
1101,55,R,2,43,H,F,4,5,1,101,0,1,A,2,14.88,8,4,13,37,104,278,24,11.58,17,15,9,92,2,483,198,71,33,9290,survey_value,5,4,10
1102,86,?,?,,U,M,4,1,1,137,0,1,S,4,13.6,10,6,17,40,105,374,33,11.33,12,12,5,131,6,882,380,73,0,18642,survey_value,2,2,7
1154,78,U,3,8,U,F,,0,0,29,0,0,A,1,12.5,2,2,24,10,29,35,3,11.67,15,20,24,59,,1131,403,50,57,17593,survey_value,3,3,8
1196,32,U,1,1,U,M,1,0,0,53,0,1,A,4,4.57,7,5,16,33,79,82,20,4.1,7,5,16,57,,1348,613,83,0,20525,survey_value,1,1,6
1198,56,S,1,12,H,M,7,0,0,17,0,0,F,1,13.33,3,1,17,15,46,65,5,13,5,15,5,57,,2491,498,90,20,17576,survey_value,4,3,9
1245,79,S,2,16,H,F,2,0,0,89,0,0,A,1,15,2,2,16,36,96,165,13,12.69,15,15,9,79,6,728,330,57,33,13621,survey_value,3,2,8
1249,,S,2,20,U,M,,0,1,77,0,1,A,1,11.4,5,3,13,35,88,122,13,9.38,17,11,7,69,,1435,423,82,27,18160,survey_value,5,4,10
1254,49,S,1,14,H,M,5,0,1,65,0,0,A,1,25,1,0,26,14,36,75,3,25,0,25,26,56,,1102,613,90,69,20557,survey_value,0,0,5
1258,63,U,2,6,U,M,2,0,0,125,0,0,A,1,21,1,1,18,27,75,99,11,9,16,21,18,110,8,876,473,90,39,16469,survey_value,4,3,9
1264,71,C,2,28,H,M,2,0,0,29,0,0,N,1,15,1,1,23,9,24,20,2,10,10,15,23,56,,689,288,70,13,14904,survey_value,0,0,5
1280,71,R,1,42,H,M,7,0,0,137,0,1,A,2,29.2,5,2,18,34,82,282,13,21.69,30,30,18,121,0,1881,426,72,49,20138,survey_value,0,0,5
1287,,S,1,11,U,M,,0,0,65,0,0,A,2,25,3,1,18,25,60,155,6,25.83,10,25,18,57,,0,0,0,0,0,survey_value,5,4,10
1292,47,C,2,29,H,M,5,0,1,29,0,1,A,2,9,3,2,18,15,40,38,5,7.6,10,7,18,57,,692,203,74,5,14602,survey_value,2,2,7
1293,75,S,2,18,H,F,2,0,1,101,0,1,A,4,4.8,5,3,20,27,71,74,14,5.29,7,5,20,92,,917,462,94,24,14229,survey_value,5,4,10
1298,80,T,2,38,H,M,4,0,0,89,0,1,A,4,19.71,7,5,21,38,99,311,22,14.14,25,20,18,89,8,2459,309,47,15,17969,survey_value,4,3,9
1304,85,R,3,53,U,F,1,3,0,137,0,1,A,1,9.43,7,4,19,46,111,193,26,7.42,9,10,19,126,0,1259,263,43,26,9748,survey_value,4,3,9
1322,54,U,2,5,U,F,3,0,1,77,0,1,A,2,13.5,4,2,24,36,94,174,14,12.43,5,14,7,73,7,376,397,72,45,15260,survey_value,2,1,7
1325,59,S,2,20,H,M,3,0,0,53,0,0,A,1,26.25,4,1,18,33,80,210,9,23.33,25,25,5,55,6,1027,331,53,18,13701,survey_value,4,3,9
1329,65,?,?,,U,M,6,0,0,29,0,0,N,3,13.33,3,1,17,13,36,45,4,11.25,11,14,17,55,,745,259,59,0,9966,survey_value,4,3,9
1334,,C,1,24,U,M,,0,0,53,0,0,A,1,40,1,0,25,17,39,120,3,40,0,40,25,54,7,1138,537,72,56,18770,survey_value,3,2,8
1348,,U,1,1,U,U,,0,0,65,0,0,A,4,10.5,4,2,17,21,62,77,8,9.63,6,10,15,57,,2750,599,42,18,60625,survey_value,0,0,5
1350,,T,1,35,H,M,5,19,0,65,0,1,A,1,25,1,0,18,27,66,112,8,14,30,25,18,65,9,901,441,89,55,17670,survey_value,1,1,6
1357,40,S,2,17,H,F,5,1,1,137,0,1,S,3,13.9,10,6,15,41,102,224,21,10.67,22,18,15,126,5,889,328,36,48,13456,survey_value,1,1,6
1368,71,R,2,43,U,F,2,1,0,65,0,1,S,3,13.5,8,3,18,33,83,259,23,11.26,15,10,9,56,1,1721,618,95,35,21855,survey_value,0,0,5
1371,75,S,1,13,U,F,,0,1,53,0,0,A,3,20,3,1,19,20,50,100,5,20,0,20,19,53,8,2753,504,77,27,24127,survey_value,4,3,9
1396,49,S,2,17,H,M,1,1,0,113,0,1,S,4,17.4,5,3,17,34,92,352,24,14.67,15,12,17,112,,730,247,70,31,15385,survey_value,1,1,6
1397,51,S,1,12,H,M,4,0,0,65,0,0,A,3,11.75,4,3,17,32,81,104,10,10.4,10,15,17,57,9,1024,475,81,32,18143,survey_value,2,2,7
1400,,S,1,11,H,M,7,1,0,137,0,1,S,3,8.38,8,6,24,36,88,157,29,5.41,15,9,24,131,6,1805,759,79,54,31663,survey_value,3,3,8
1414,69,T,2,39,H,M,5,0,0,77,0,1,A,1,22.5,2,0,9,21,67,119,7,17,15,25,9,76,5,465,314,63,29,11769,survey_value,2,2,7
