CONTROL_NUMBER,survey_question,survey_value
00000714,causes donated to last year,3
00000718,causes donated to last year,1
00000727,causes donated to last year,5
00000740,causes donated to last year,4
00000743,causes donated to last year,0
00000751,causes donated to last year,1
00000775,causes donated to last year,3
00000785,causes donated to last year,4
00000788,causes donated to last year,1
00000790,causes donated to last year,0
00000793,causes donated to last year,5
00000804,causes donated to last year,5
00000826,causes donated to last year,5
00000836,causes donated to last year,0
00000867,causes donated to last year,2
00000894,causes donated to last year,1
00000898,causes donated to last year,2
00000903,causes donated to last year,2
00000905,causes donated to last year,4
00000908,causes donated to last year,5
00000917,causes donated to last year,3
00000919,causes donated to last year,0
00000931,causes donated to last year,2
00000959,causes donated to last year,1
00000968,causes donated to last year,1
00000970,causes donated to last year,4
00000971,causes donated to last year,4
00000985,causes donated to last year,3
00000987,causes donated to last year,3
00001006,causes donated to last year,2
00001007,causes donated to last year,2
00001012,causes donated to last year,5
00001030,causes donated to last year,2
00001034,causes donated to last year,2
00001042,causes donated to last year,0
00001048,causes donated to last year,3
00001054,causes donated to last year,4
00001064,causes donated to last year,5
00001068,causes donated to last year,0
00001074,causes donated to last year,2
00001085,causes donated to last year,5
00001092,causes donated to last year,3
00001101,causes donated to last year,5
00001102,causes donated to last year,2
00001154,causes donated to last year,3
00001196,causes donated to last year,1
00001198,causes donated to last year,4
00001245,causes donated to last year,3
00001249,causes donated to last year,5
00001254,causes donated to last year,0
00001258,causes donated to last year,4
00001264,causes donated to last year,0
00001280,causes donated to last year,0
00001287,causes donated to last year,5
00001292,causes donated to last year,2
00001293,causes donated to last year,5
00001298,causes donated to last year,4
00001304,causes donated to last year,4
00001322,causes donated to last year,2
00001325,causes donated to last year,4
00001329,causes donated to last year,4
00001334,causes donated to last year,3
00001348,causes donated to last year,0
00001350,causes donated to last year,1
00001357,causes donated to last year,1
00001368,causes donated to last year,0
00001371,causes donated to last year,4
00001396,causes donated to last year,1
00001397,causes donated to last year,2
00001400,causes donated to last year,3
00001414,causes donated to last year,2
00001419,causes donated to last year,4
00001431,causes donated to last year,5
00001434,causes donated to last year,5
00001442,causes donated to last year,0
00001468,causes donated to last year,4
00001477,causes donated to last year,3
00001480,causes donated to last year,4
00001485,causes donated to last year,3
00001493,causes donated to last year,5
00001495,causes donated to last year,0
00001499,causes donated to last year,4
00001502,causes donated to last year,4
00001505,causes donated to last year,5
00001544,causes donated to last year,2
00001548,causes donated to last year,1
00001549,causes donated to last year,3
00001556,causes donated to last year,2
00001611,causes donated to last year,2
00001617,causes donated to last year,2
00001628,causes donated to last year,1
00001631,causes donated to last year,4
00001635,causes donated to last year,0
00001646,causes donated to last year,2
00001652,causes donated to last year,5
00001656,causes donated to last year,3
00001673,causes donated to last year,0
00001685,causes donated to last year,5
00001703,causes donated to last year,5
00001709,causes donated to last year,2
00001722,causes donated to last year,3
00001731,causes donated to last year,3
00001742,causes donated to last year,1
00001748,causes donated to last year,2
00001765,causes donated to last year,1
00001779,causes donated to last year,5
00001789,causes donated to last year,1
00001794,causes donated to last year,3
00001799,causes donated to last year,5
00001808,causes donated to last year,4
00001818,causes donated to last year,2
00001819,causes donated to last year,0
00001832,causes donated to last year,5
00001863,causes donated to last year,0
00001889,causes donated to last year,0
00001893,causes donated to last year,4
00001899,causes donated to last year,5
00001902,causes donated to last year,5
00001909,causes donated to last year,3
00001913,causes donated to last year,5
00001920,causes donated to last year,2
00001925,causes donated to last year,0
00001927,causes donated to last year,4
00001928,causes donated to last year,3
00001959,causes donated to last year,0
00001962,causes donated to last year,0
00001968,causes donated to last year,0
00001970,causes donated to last year,0
00001973,causes donated to last year,0
00001975,causes donated to last year,1
00001979,causes donated to last year,1
00001985,causes donated to last year,3
00001986,causes donated to last year,2
00002018,causes donated to last year,2
00002020,causes donated to last year,0
00002027,causes donated to last year,0
00002052,causes donated to last year,3
00002058,causes donated to last year,1
00002063,causes donated to last year,3
00002081,causes donated to last year,4
00002085,causes donated to last year,2
00002087,causes donated to last year,3
00002097,causes donated to last year,2
00002113,causes donated to last year,4
00002151,causes donated to last year,3
00002153,causes donated to last year,1
00002154,causes donated to last year,4
00002159,causes donated to last year,3
00002162,causes donated to last year,5
00002166,causes donated to last year,1
00002168,causes donated to last year,5
00002170,causes donated to last year,2
00002194,causes donated to last year,4
00002211,causes donated to last year,3
00002231,causes donated to last year,4
00002233,causes donated to last year,1
00002235,causes donated to last year,1
00002238,causes donated to last year,2
00002242,causes donated to last year,0
00002244,causes donated to last year,3
00002252,causes donated to last year,0
00002262,causes donated to last year,5
00002289,causes donated to last year,4
00002291,causes donated to last year,4
00002298,causes donated to last year,5
00002311,causes donated to last year,2
00002314,causes donated to last year,4
00002315,causes donated to last year,4
00002320,causes donated to last year,4
00002321,causes donated to last year,2
00002334,causes donated to last year,5
00002339,causes donated to last year,1
00002340,causes donated to last year,4
00002365,causes donated to last year,3
00002379,causes donated to last year,2
00002384,causes donated to last year,2
00002393,causes donated to last year,4
00002396,causes donated to last year,3
00002398,causes donated to last year,3
00002408,causes donated to last year,4
00002415,causes donated to last year,3
00002425,causes donated to last year,1
00002431,causes donated to last year,3
00002444,causes donated to last year,4
00002451,causes donated to last year,1
00002464,causes donated to last year,5
00002466,causes donated to last year,4
00002490,causes donated to last year,1
00002491,causes donated to last year,4
00002492,causes donated to last year,2
00002495,causes donated to last year,4
00002499,causes donated to last year,2
00002501,causes donated to last year,5
00002503,causes donated to last year,2
00002510,causes donated to last year,5
00002512,causes donated to last year,2
00002519,causes donated to last year,5
00002525,causes donated to last year,5
00002544,causes donated to last year,1
00002561,causes donated to last year,4
00002567,causes donated to last year,2
00002583,causes donated to last year,3
00002586,causes donated to last year,0
00002593,causes donated to last year,4
00002596,causes donated to last year,4
00002599,causes donated to last year,3
00002609,causes donated to last year,1
00002615,causes donated to last year,3
00002623,causes donated to last year,4
00002628,causes donated to last year,1
00002640,causes donated to last year,1
00002643,causes donated to last year,1
00002651,causes donated to last year,2
00002678,causes donated to last year,1
00002687,causes donated to last year,2
00002691,causes donated to last year,1
00002693,causes donated to last year,2
00002749,causes donated to last year,0
00002757,causes donated to last year,3
00002781,causes donated to last year,0
00002796,causes donated to last year,3
00002797,causes donated to last year,4
00002798,causes donated to last year,5
00002809,causes donated to last year,3
00002814,causes donated to last year,3
00002846,causes donated to last year,5
00002852,causes donated to last year,0
00002853,causes donated to last year,1
00002855,causes donated to last year,4
00002861,causes donated to last year,1
00002867,causes donated to last year,0
00002868,causes donated to last year,0
00002889,causes donated to last year,2
00002931,causes donated to last year,3
00002935,causes donated to last year,2
00002941,causes donated to last year,2
00002950,causes donated to last year,3
00002951,causes donated to last year,2
00002952,causes donated to last year,2
00002964,causes donated to last year,0
00002989,causes donated to last year,2
00002991,causes donated to last year,5
00002996,causes donated to last year,2
00002997,causes donated to last year,1
00003000,causes donated to last year,5
00003008,causes donated to last year,4
00003009,causes donated to last year,2
00003011,causes donated to last year,3
00003012,causes donated to last year,5
00003018,causes donated to last year,2
00003026,causes donated to last year,1
00003028,causes donated to last year,3
00003054,causes donated to last year,4
00003063,causes donated to last year,0
00003070,causes donated to last year,3
00003093,causes donated to last year,2
00003099,causes donated to last year,2
00003109,causes donated to last year,5
00003118,causes donated to last year,4
00003122,causes donated to last year,5
00003141,causes donated to last year,2
00003143,causes donated to last year,3
00003155,causes donated to last year,0
00003160,causes donated to last year,3
00003169,causes donated to last year,2
00003208,causes donated to last year,5
00003214,causes donated to last year,2
00003227,causes donated to last year,2
00003237,causes donated to last year,3
00003242,causes donated to last year,4
00003252,causes donated to last year,0
00003273,causes donated to last year,3
00003275,causes donated to last year,3
00003283,causes donated to last year,0
00003304,causes donated to last year,4
00003311,causes donated to last year,0
00003312,causes donated to last year,1
00003318,causes donated to last year,3
00003319,causes donated to last year,5
00003325,causes donated to last year,3
00003359,causes donated to last year,1
00003366,causes donated to last year,4
00003399,causes donated to last year,5
00003412,causes donated to last year,5
00003414,causes donated to last year,1
00003424,causes donated to last year,5
00003451,causes donated to last year,5
00003463,causes donated to last year,2
00003480,causes donated to last year,4
00003484,causes donated to last year,0
00003496,causes donated to last year,4
00003504,causes donated to last year,3
00003513,causes donated to last year,0
00003522,causes donated to last year,3
00003524,causes donated to last year,4
00003525,causes donated to last year,3
00003539,causes donated to last year,4
00003550,causes donated to last year,1
00003553,causes donated to last year,0
00003579,causes donated to last year,0
00003608,causes donated to last year,2
00003612,causes donated to last year,3
00003613,causes donated to last year,0
00003615,causes donated to last year,3
00003628,causes donated to last year,2
00003631,causes donated to last year,2
00003636,causes donated to last year,1
00003638,causes donated to last year,2
00003639,causes donated to last year,1
00003641,causes donated to last year,2
00003651,causes donated to last year,5
00003660,causes donated to last year,5
00003685,causes donated to last year,4
00003691,causes donated to last year,4
00003698,causes donated to last year,4
00003700,causes donated to last year,5
00003706,causes donated to last year,3
00003718,causes donated to last year,0
00003742,causes donated to last year,1
00003746,causes donated to last year,3
00003750,causes donated to last year,2
00003759,causes donated to last year,4
00003763,causes donated to last year,3
00003769,causes donated to last year,4
00003811,causes donated to last year,3
00003819,causes donated to last year,4
00003825,causes donated to last year,3
00003827,causes donated to last year,0
00003864,causes donated to last year,1
00003868,causes donated to last year,5
00003873,causes donated to last year,3
00003875,causes donated to last year,5
00003885,causes donated to last year,5
00003886,causes donated to last year,2
00003891,causes donated to last year,3
00003915,causes donated to last year,3
00003918,causes donated to last year,3
00003931,causes donated to last year,0
00003933,causes donated to last year,0
00003937,causes donated to last year,2
00003952,causes donated to last year,1
00003953,causes donated to last year,4
00003964,causes donated to last year,5
00003965,causes donated to last year,0
00003976,causes donated to last year,2
00003985,causes donated to last year,1
00003986,causes donated to last year,0
00003995,causes donated to last year,5
00004000,causes donated to last year,1
00004002,causes donated to last year,5
00004003,causes donated to last year,4
00004016,causes donated to last year,3
00004017,causes donated to last year,2
00004026,causes donated to last year,5
00004048,causes donated to last year,3
00004052,causes donated to last year,3
00004055,causes donated to last year,4
00004060,causes donated to last year,0
00004062,causes donated to last year,2
00004081,causes donated to last year,4
00004082,causes donated to last year,0
00004094,causes donated to last year,4
00004119,causes donated to last year,1
00004127,causes donated to last year,3
00004128,causes donated to last year,1
00004132,causes donated to last year,4
00004140,causes donated to last year,3
00004150,causes donated to last year,1
00004152,causes donated to last year,0
00004163,causes donated to last year,3
00004187,causes donated to last year,3
00004194,causes donated to last year,5
00004200,causes donated to last year,1
00004208,causes donated to last year,5
00004211,causes donated to last year,0
00004225,causes donated to last year,5
00004240,causes donated to last year,1
00004243,causes donated to last year,3
00004254,causes donated to last year,2
00004284,causes donated to last year,3
00004288,causes donated to last year,5
00004300,causes donated to last year,0
00004303,causes donated to last year,5
00004314,causes donated to last year,4
00004315,causes donated to last year,5
00004320,causes donated to last year,1
00004321,causes donated to last year,2
00004340,causes donated to last year,2
00004347,causes donated to last year,2
00004352,causes donated to last year,5
00004390,causes donated to last year,4
00004393,causes donated to last year,0
00004404,causes donated to last year,5
00004410,causes donated to last year,1
00004414,causes donated to last year,4
00004415,causes donated to last year,1
00004417,causes donated to last year,0
00004425,causes donated to last year,5
00004427,causes donated to last year,2
00004432,causes donated to last year,3
00004440,causes donated to last year,5
00004445,causes donated to last year,1
00004463,causes donated to last year,1
00004482,causes donated to last year,4
00004501,causes donated to last year,2
00004503,causes donated to last year,1
00004513,causes donated to last year,5
00004522,causes donated to last year,5
00004532,causes donated to last year,5
00004544,causes donated to last year,0
00004553,causes donated to last year,2
00004566,causes donated to last year,0
00004588,causes donated to last year,3
00004589,causes donated to last year,4
00004590,causes donated to last year,5
00004592,causes donated to last year,4
00004594,causes donated to last year,5
00004605,causes donated to last year,3
00004606,causes donated to last year,3
00004627,causes donated to last year,2
00004629,causes donated to last year,4
00004631,causes donated to last year,4
00004632,causes donated to last year,5
00004638,causes donated to last year,5
00004644,causes donated to last year,2
00004645,causes donated to last year,3
00004655,causes donated to last year,4
00004657,causes donated to last year,3
00004693,causes donated to last year,5
00004726,causes donated to last year,3
00004729,causes donated to last year,0
00004732,causes donated to last year,5
00004739,causes donated to last year,0
00004746,causes donated to last year,2
00004748,causes donated to last year,3
00004755,causes donated to last year,5
00004760,causes donated to last year,5
00004767,causes donated to last year,0
00004786,causes donated to last year,4
00004804,causes donated to last year,3
00004805,causes donated to last year,4
00004820,causes donated to last year,2
00004829,causes donated to last year,2
00004847,causes donated to last year,2
00004849,causes donated to last year,0
00004869,causes donated to last year,2
00004878,causes donated to last year,4
00004879,causes donated to last year,4
00004881,causes donated to last year,3
00004882,causes donated to last year,0
00004885,causes donated to last year,5
00004890,causes donated to last year,0
00004891,causes donated to last year,5
00004907,causes donated to last year,4
00004917,causes donated to last year,1
00004956,causes donated to last year,2
00004964,causes donated to last year,5
00004981,causes donated to last year,5
00004991,causes donated to last year,2
00005003,causes donated to last year,2
00005021,causes donated to last year,1
00005023,causes donated to last year,5
00005038,causes donated to last year,2
00005051,causes donated to last year,2
00005059,causes donated to last year,1
00005070,causes donated to last year,5
00005071,causes donated to last year,0
00005074,causes donated to last year,3
00005111,causes donated to last year,4
00005123,causes donated to last year,2
00005140,causes donated to last year,4
00005144,causes donated to last year,1
00005164,causes donated to last year,2
00005172,causes donated to last year,4
00005180,causes donated to last year,2
00005208,causes donated to last year,5
00005230,causes donated to last year,2
00005243,causes donated to last year,0
00005261,causes donated to last year,2
00005267,causes donated to last year,2
00005272,causes donated to last year,4
00005281,causes donated to last year,0
00005290,causes donated to last year,1
00005291,causes donated to last year,3
00005295,causes donated to last year,1
00005300,causes donated to last year,1
00005302,causes donated to last year,2
00005303,causes donated to last year,5
00005321,causes donated to last year,2
00005327,causes donated to last year,5
00005331,causes donated to last year,4
00005335,causes donated to last year,4
00005354,causes donated to last year,1
00005365,causes donated to last year,3
00005366,causes donated to last year,5
00005374,causes donated to last year,2
00005404,causes donated to last year,5
00005405,causes donated to last year,2
00005407,causes donated to last year,3
00005420,causes donated to last year,5
00005424,causes donated to last year,4
00005467,causes donated to last year,5
00005477,causes donated to last year,0
00005478,causes donated to last year,0
00005492,causes donated to last year,5
00005496,causes donated to last year,3
00005497,causes donated to last year,1
00005502,causes donated to last year,5
00005510,causes donated to last year,0
00005511,causes donated to last year,1
00005524,causes donated to last year,2
00005532,causes donated to last year,5
00005537,causes donated to last year,0
00005546,causes donated to last year,0
00005556,causes donated to last year,2
00005583,causes donated to last year,5
00005592,causes donated to last year,4
00005601,causes donated to last year,2
00005604,causes donated to last year,5
00005610,causes donated to last year,0
00005613,causes donated to last year,4
00005614,causes donated to last year,3
00005616,causes donated to last year,5
00005629,causes donated to last year,2
00005636,causes donated to last year,4
00005642,causes donated to last year,5
00005665,causes donated to last year,3
00005681,causes donated to last year,0
00005699,causes donated to last year,4
00005718,causes donated to last year,2
00005733,causes donated to last year,2
00005740,causes donated to last year,5
00005742,causes donated to last year,1
00005759,causes donated to last year,2
00005762,causes donated to last year,3
00005770,causes donated to last year,0
00005775,causes donated to last year,3
00005798,causes donated to last year,5
00005813,causes donated to last year,2
00005822,causes donated to last year,5
00005835,causes donated to last year,5
00005843,causes donated to last year,4
00005852,causes donated to last year,4
00005854,causes donated to last year,2
00005864,causes donated to last year,1
00005867,causes donated to last year,0
00005881,causes donated to last year,5
00005895,causes donated to last year,0
00005899,causes donated to last year,2
00005906,causes donated to last year,2
00005915,causes donated to last year,4
00005918,causes donated to last year,4
00005949,causes donated to last year,0
00005953,causes donated to last year,3
00005960,causes donated to last year,0
00005967,causes donated to last year,3
00005968,causes donated to last year,4
00006006,causes donated to last year,4
00006009,causes donated to last year,5
00006014,causes donated to last year,4
00006022,causes donated to last year,4
00006024,causes donated to last year,1
00006026,causes donated to last year,1
00006028,causes donated to last year,0
00006034,causes donated to last year,1
00006046,causes donated to last year,0
00006047,causes donated to last year,5
00006048,causes donated to last year,5
00006050,causes donated to last year,0
00006054,causes donated to last year,2
00006064,causes donated to last year,2
00006070,causes donated to last year,2
00006076,causes donated to last year,4
00006086,causes donated to last year,1
00006099,causes donated to last year,3
00006102,causes donated to last year,2
00006123,causes donated to last year,5
00006147,causes donated to last year,4
00006155,causes donated to last year,1
00006164,causes donated to last year,3
00006169,causes donated to last year,2
00006170,causes donated to last year,0
00006183,causes donated to last year,4
00006184,causes donated to last year,3
00006185,causes donated to last year,1
00006186,causes donated to last year,1
00006198,causes donated to last year,5
00006223,causes donated to last year,2
00006232,causes donated to last year,4
00006273,causes donated to last year,5
00006286,causes donated to last year,3
00006292,causes donated to last year,1
00006293,causes donated to last year,4
00006294,causes donated to last year,3
00006298,causes donated to last year,3
00006304,causes donated to last year,5
00006308,causes donated to last year,0
00006325,causes donated to last year,1
00006348,causes donated to last year,5
00006351,causes donated to last year,5
00006358,causes donated to last year,1
00006367,causes donated to last year,4
00006388,causes donated to last year,2
00006403,causes donated to last year,2
00006411,causes donated to last year,0
00006420,causes donated to last year,2
00006443,causes donated to last year,2
00006447,causes donated to last year,2
00006451,causes donated to last year,0
00006457,causes donated to last year,2
00006490,causes donated to last year,1
00006497,causes donated to last year,0
00006510,causes donated to last year,0
00006511,causes donated to last year,1
00006525,causes donated to last year,2
00006527,causes donated to last year,4
00006532,causes donated to last year,1
00006537,causes donated to last year,0
00006555,causes donated to last year,3
00006558,causes donated to last year,0
00006562,causes donated to last year,2
00006587,causes donated to last year,0
00006599,causes donated to last year,3
00006615,causes donated to last year,2
00006642,causes donated to last year,3
00006643,causes donated to last year,4
00006649,causes donated to last year,4
00006659,causes donated to last year,5
00006665,causes donated to last year,0
00006669,causes donated to last year,2
00006675,causes donated to last year,2
00006678,causes donated to last year,4
00006684,causes donated to last year,5
00006695,causes donated to last year,1
00006753,causes donated to last year,3
00006755,causes donated to last year,0
00006756,causes donated to last year,1
00006757,causes donated to last year,2
00006777,causes donated to last year,4
00006783,causes donated to last year,2
00006789,causes donated to last year,0
00006806,causes donated to last year,1
00006827,causes donated to last year,4
00006845,causes donated to last year,3
00006851,causes donated to last year,3
00006865,causes donated to last year,3
00006875,causes donated to last year,2
00006885,causes donated to last year,5
00006888,causes donated to last year,2
00006899,causes donated to last year,1
00006909,causes donated to last year,1
00006912,causes donated to last year,5
00006917,causes donated to last year,0
00006931,causes donated to last year,5
00006932,causes donated to last year,3
00006941,causes donated to last year,0
00006971,causes donated to last year,5
00006981,causes donated to last year,2
00006985,causes donated to last year,4
00006997,causes donated to last year,1
00007017,causes donated to last year,3
00007048,causes donated to last year,3
00007059,causes donated to last year,5
00007074,causes donated to last year,4
00007080,causes donated to last year,4
00007082,causes donated to last year,1
00007086,causes donated to last year,3
00007103,causes donated to last year,2
00007105,causes donated to last year,3
00007116,causes donated to last year,2
00007118,causes donated to last year,5
00007120,causes donated to last year,2
00007127,causes donated to last year,5
00007134,causes donated to last year,0
00007160,causes donated to last year,0
00007169,causes donated to last year,1
00007173,causes donated to last year,5
00007174,causes donated to last year,5
00007178,causes donated to last year,1
00007211,causes donated to last year,3
00007212,causes donated to last year,3
00007214,causes donated to last year,5
00007218,causes donated to last year,0
00007237,causes donated to last year,4
00007238,causes donated to last year,5
00007240,causes donated to last year,5
00007245,causes donated to last year,5
00007259,causes donated to last year,2
00007261,causes donated to last year,0
00007265,causes donated to last year,4
00007280,causes donated to last year,1
00007296,causes donated to last year,1
00007300,causes donated to last year,5
00007301,causes donated to last year,3
00007320,causes donated to last year,2
00007330,causes donated to last year,4
00007340,causes donated to last year,1
00007346,causes donated to last year,0
00007368,causes donated to last year,4
00007389,causes donated to last year,5
00007392,causes donated to last year,2
00007402,causes donated to last year,2
00007411,causes donated to last year,3
00007451,causes donated to last year,5
00007452,causes donated to last year,0
00007485,causes donated to last year,5
00007491,causes donated to last year,4
00007492,causes donated to last year,2
00007494,causes donated to last year,2
00007500,causes donated to last year,4
00007507,causes donated to last year,1
00007508,causes donated to last year,5
00007515,causes donated to last year,4
00007516,causes donated to last year,4
00007518,causes donated to last year,5
00007534,causes donated to last year,1
00007540,causes donated to last year,5
00007541,causes donated to last year,3
00007550,causes donated to last year,0
00007554,causes donated to last year,3
00007563,causes donated to last year,2
00007582,causes donated to last year,1
00007583,causes donated to last year,5
00007590,causes donated to last year,3
00007592,causes donated to last year,0
00007607,causes donated to last year,3
00007634,causes donated to last year,4
00007637,causes donated to last year,1
00007646,causes donated to last year,0
00007649,causes donated to last year,0
00007664,causes donated to last year,1
00007676,causes donated to last year,1
00007691,causes donated to last year,4
00007700,causes donated to last year,2
00007701,causes donated to last year,3
00007710,causes donated to last year,5
00007719,causes donated to last year,3
00007722,causes donated to last year,3
00007734,causes donated to last year,5
00007757,causes donated to last year,4
00007776,causes donated to last year,0
00007798,causes donated to last year,2
00007799,causes donated to last year,5
00007804,causes donated to last year,1
00007809,causes donated to last year,1
00007811,causes donated to last year,4
00007819,causes donated to last year,3
00007820,causes donated to last year,4
00007827,causes donated to last year,2
00007829,causes donated to last year,1
00007836,causes donated to last year,5
00007846,causes donated to last year,3
00007852,causes donated to last year,4
00007879,causes donated to last year,2
00007900,causes donated to last year,2
00007904,causes donated to last year,3
00007917,causes donated to last year,3
00007924,causes donated to last year,2
00007931,causes donated to last year,0
00007932,causes donated to last year,2
00007947,causes donated to last year,4
00007951,causes donated to last year,1
00007952,causes donated to last year,3
00007985,causes donated to last year,2
00007987,causes donated to last year,4
00007991,causes donated to last year,3
00007993,causes donated to last year,5
00007995,causes donated to last year,5
00008008,causes donated to last year,5
00008013,causes donated to last year,2
00008048,causes donated to last year,1
00008084,causes donated to last year,2
00008085,causes donated to last year,0
00008103,causes donated to last year,1
00008118,causes donated to last year,2
00008121,causes donated to last year,3
00008129,causes donated to last year,4
00008136,causes donated to last year,4
00008152,causes donated to last year,5
00008156,causes donated to last year,5
00008163,causes donated to last year,5
00008182,causes donated to last year,5
00008183,causes donated to last year,1
00008190,causes donated to last year,4
00008195,causes donated to last year,2
00008197,causes donated to last year,4
00008204,causes donated to last year,0
00008207,causes donated to last year,4
00008232,causes donated to last year,0
00008234,causes donated to last year,4
00008240,causes donated to last year,5
00008245,causes donated to last year,0
00008258,causes donated to last year,1
00008272,causes donated to last year,3
00008276,causes donated to last year,4
00008277,causes donated to last year,4
00008305,causes donated to last year,4
00008310,causes donated to last year,1
00008330,causes donated to last year,4
00008339,causes donated to last year,2
00008358,causes donated to last year,1
00008365,causes donated to last year,1
00008384,causes donated to last year,3
00008386,causes donated to last year,3
00008404,causes donated to last year,1
00008436,causes donated to last year,4
00008438,causes donated to last year,0
00008439,causes donated to last year,3
00008440,causes donated to last year,0
00008443,causes donated to last year,1
00008452,causes donated to last year,3
00008460,causes donated to last year,0
00008483,causes donated to last year,5
00008489,causes donated to last year,4
00008513,causes donated to last year,1
00008518,causes donated to last year,1
00008531,causes donated to last year,3
00008536,causes donated to last year,5
00008538,causes donated to last year,2
00008550,causes donated to last year,3
00008583,causes donated to last year,5
00008585,causes donated to last year,3
00008623,causes donated to last year,4
00008637,causes donated to last year,1
00008639,causes donated to last year,3
00008657,causes donated to last year,1
00008664,causes donated to last year,3
00008669,causes donated to last year,1
00008684,causes donated to last year,4
00008688,causes donated to last year,2
00008696,causes donated to last year,0
00008708,causes donated to last year,0
00008711,causes donated to last year,2
00008714,causes donated to last year,4
00008730,causes donated to last year,1
00008736,causes donated to last year,0
00008742,causes donated to last year,4
00008744,causes donated to last year,5
00008762,causes donated to last year,5
00008765,causes donated to last year,4
00008768,causes donated to last year,4
00008780,causes donated to last year,3
00008782,causes donated to last year,1
00008792,causes donated to last year,1
00008809,causes donated to last year,2
00008814,causes donated to last year,0
00008823,causes donated to last year,0
00008824,causes donated to last year,4
00008829,causes donated to last year,0
00008855,causes donated to last year,0
00008863,causes donated to last year,2
00008880,causes donated to last year,2
00008891,causes donated to last year,0
00008912,causes donated to last year,3
00008923,causes donated to last year,4
00008938,causes donated to last year,4
00008946,causes donated to last year,3
00008951,causes donated to last year,1
00008972,causes donated to last year,3
00008981,causes donated to last year,5
00008989,causes donated to last year,3
00008992,causes donated to last year,2
00009002,causes donated to last year,3
00009022,causes donated to last year,3
00009045,causes donated to last year,3
00009049,causes donated to last year,5
00009053,causes donated to last year,0
00009055,causes donated to last year,3
00009063,causes donated to last year,2
00009069,causes donated to last year,2
00009084,causes donated to last year,4
00009087,causes donated to last year,1
00009091,causes donated to last year,1
00009113,causes donated to last year,1
00009124,causes donated to last year,1
00009138,causes donated to last year,4
00009165,causes donated to last year,2
00009167,causes donated to last year,2
00009179,causes donated to last year,5
00009202,causes donated to last year,3
00009209,causes donated to last year,4
00009211,causes donated to last year,0
00009218,causes donated to last year,3
00009230,causes donated to last year,2
00009236,causes donated to last year,0
00009258,causes donated to last year,5
00009287,causes donated to last year,3
00009348,causes donated to last year,4
00009358,causes donated to last year,2
00009374,causes donated to last year,4
00009376,causes donated to last year,4
00009390,causes donated to last year,5
00009397,causes donated to last year,3
00009408,causes donated to last year,0
00009427,causes donated to last year,0
00009429,causes donated to last year,4
00009438,causes donated to last year,2
00009439,causes donated to last year,3
00009441,causes donated to last year,1
00009443,causes donated to last year,4
00009455,causes donated to last year,1
00009460,causes donated to last year,1
00009461,causes donated to last year,2
00009515,causes donated to last year,3
00009521,causes donated to last year,0
00009535,causes donated to last year,4
00009537,causes donated to last year,0
00009553,causes donated to last year,2
00009561,causes donated to last year,2
00009576,causes donated to last year,3
00009592,causes donated to last year,1
