TARGET_B,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,IN_HOUSE,PEP_STAR,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_AVG_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LAST_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
0,210,101,0,1,S,2,11.57,7,3,12,33,96,255,26,9.81,15,10,12,92
1,220,77,0,1,S,4,6.14,7,4,13,29,79,122,22,5.55,5,7,5,87
0,230,65,0,0,A,1,17.5,2,0,26,16,44,90,7,12.86,15,20,26,88
0,236,89,0,1,A,1,12.86,7,4,11,24,68,200,21,9.52,10,10,5,87
1,250,89,0,1,A,2,12.86,7,4,17,39,94,261,24,10.88,12,12,17,87
0,257,89,0,0,A,1,19,1,0,25,19,49,164,14,11.71,17,19,25,87
1,263,77,0,1,A,2,14,5,5,21,33,91,186,16,11.63,12,14,5,87
1,268,89,0,0,A,4,25.88,8,5,15,40,107,470,21,22.38,25,35,8,87
0,276,89,0,0,A,3,11.33,3,2,20,33,88,134,14,9.57,8,10,20,87
1,282,17,0,0,F,1,20,1,1,20,13,39,76,9,8.44,15,20,20,87
0,286,89,0,0,A,1,25,1,0,26,18,45,109,7,15.57,15,25,26,87
0,316,89,0,1,A,1,20,10,6,12,32,82,380,23,16.52,15,20,4,87
0,317,89,0,0,A,1,23,1,0,19,12,35,87,5,17.4,8,23,19,87
0,325,89,0,1,S,2,32.5,2,2,15,26,58,209,10,20.9,25,35,15,87
1,341,89,0,1,A,1,14,4,1,15,37,106,297,27,11,20,15,7,86
0,349,89,0,0,E,1,15,1,0,15,9,29,59,5,11.8,5,15,15,86
0,363,89,0,0,A,1,17,1,0,25,14,39,101,7,14.43,5,17,25,85
1,364,53,0,1,S,2,13,6,2,20,26,70,284,21,13.52,20,10,18,85
1,368,137,0,1,A,1,8.83,6,4,19,42,114,247,38,6.5,5,10,19,129
0,372,101,0,0,A,1,18,2,0,17,21,59,89,7,12.71,14,19,17,91
0,379,89,0,1,A,1,12.5,2,0,18,22,51,85,10,8.5,10,15,18,85
0,383,41,0,0,A,1,19,2,0,15,28,68,163,9,18.11,28,20,15,85
1,387,5,0,0,A,3,5.4,5,2,20,15,43,70,12,5.83,7,5,18,85
1,397,89,0,0,A,1,16,1,0,20,18,60,111,7,15.86,10,16,20,84
1,403,89,0,0,A,1,20,1,1,18,21,52,335,10,33.5,30,35,7,83
0,412,77,0,1,A,1,11.25,8,5,16,24,68,356,32,11.13,10,15,4,81
1,427,29,0,0,A,3,10,3,3,22,25,59,105,11,9.55,10,10,18,80
0,438,89,0,0,A,1,25,2,1,18,30,72,159,12,13.25,20,25,6,81
1,441,77,0,1,S,4,5,11,4,8,34,90,154,28,5.5,7,5,8,80
0,458,125,0,1,S,2,15,3,3,25,25,60,145,15,9.67,10,15,25,124
0,478,137,0,1,A,1,10,6,5,19,45,120,321,42,7.64,11,10,6,130
1,511,89,0,0,A,1,13.33,3,1,17,22,58,100,10,10,10,10,6,78
0,527,89,0,1,A,3,7.88,8,5,13,32,76,133,23,5.78,13,5,13,78
0,532,29,0,0,N,1,20,1,1,24,16,36,110,7,15.71,10,20,24,78
0,539,89,0,0,A,1,33,1,0,26,23,54,173,6,28.83,8,33,26,78
1,542,89,0,0,A,1,15,1,0,24,16,38,44,7,6.29,12,15,24,77
0,544,89,0,1,A,1,11.67,3,1,18,38,97,142,16,8.88,10,15,18,78
0,545,137,0,0,A,2,13,4,1,17,39,90,152,14,10.86,11,10,17,111
1,551,125,0,1,A,1,16,1,1,24,39,89,368,24,15.33,20,21,9,119
1,557,77,0,0,A,1,11.27,11,7,11,25,78,328,37,8.86,12,11,4,77
0,564,89,0,1,A,1,30,4,4,16,25,56,210,10,21,45,18,16,79
0,576,77,0,0,A,1,25,1,0,25,21,48,141,7,20.14,12,25,25,76
1,578,89,0,1,A,2,12.5,4,1,17,23,58,96,13,7.38,12,10,4,78
0,583,137,0,1,S,2,8.5,4,1,21,37,95,144,33,4.36,8,10,21,129
1,591,113,0,1,A,1,29,5,4,16,43,108,315,12,26.25,20,20,16,109
0,598,77,0,0,A,1,25,1,1,24,23,51,165,7,23.57,5,25,24,76
0,603,89,0,1,A,2,15.4,5,2,13,31,79,224,16,14,20,25,6,78
0,616,53,0,0,A,1,15,2,0,19,23,71,107,9,11.89,15,15,8,76
0,621,77,0,0,A,1,37.5,2,2,20,16,38,210,7,30,15,25,4,76
0,626,29,0,1,S,4,8,6,5,18,17,45,60,8,7.5,5,10,18,75
0,634,137,0,1,S,4,5,7,4,18,41,104,235,47,5,0,5,18,130
1,637,77,1,1,A,2,19.57,7,4,11,34,93,419,27,15.52,25,20,6,80
0,640,137,0,1,A,1,8,2,1,26,41,96,180,48,3.75,10,11,26,123
0,646,137,0,1,A,1,9.83,6,2,13,42,116,237,30,7.9,6,9,7,122
0,653,77,0,1,A,1,27.5,2,1,19,34,92,239,13,18.38,35,40,19,76
1,661,65,0,1,A,1,20.14,7,6,16,32,90,331,17,19.47,10,25,10,73
0,665,41,0,0,A,2,18.33,3,0,16,29,75,164,12,13.67,10,15,16,73
0,672,89,0,0,A,1,15.5,2,1,26,28,70,148,12,12.33,11,15,26,80
1,675,113,0,1,S,2,13.5,2,1,21,32,87,205.08,23,8.92,14.92,15,21,100
1,683,137,0,1,N,3,5.1,10,7,20,51,131,247,52,4.75,7,5,20,118
0,687,65,0,1,A,4,6.18,11,7,17,30,76,104,18,5.78,6,8,17,68
0,689,65,0,1,A,1,5.1,10,6,12,35,101,197,47,4.19,8,10,5,69
0,696,137,0,1,S,3,7.67,12,9,12,47,129,323,50,6.46,7,7,5,129
0,701,137,0,1,S,2,30,6,4,16,46,124,645,27,23.89,40,50,6,121
0,702,101,0,1,A,2,9.83,6,3,13,38,103,175,22,7.95,7,10,13,92
0,706,77,0,0,A,1,15,1,0,24,17,46,97,11,8.82,10,15,24,68
0,714,77,0,1,S,4,26.38,8,6,21,39,106,453,30,15.1,35,38,21,76
1,718,101,0,0,A,1,40.67,3,1,18,31,86,361,16,22.56,40,36,18,105
1,727,65,0,1,A,4,2.8,10,8,12,28,64,52,23,2.26,4,2,7,69
0,740,113,0,1,A,1,11.5,4,2,16,32,80,105,16,6.56,17,15,4,105
0,743,113,0,1,A,2,10.45,11,4,15,39,107,360,37,9.73,10,10,11,113
1,751,125,0,1,A,1,10.25,4,3,23,45,107,192,25,7.68,9,10,23,122
0,775,65,0,1,A,4,13,7,2,13,29,80,163,15,10.87,13,15,11,67
1,785,77,0,0,A,1,15,1,0,19,19,49,105,6,17.5,15,20,5,66
0,788,65,0,0,A,1,40,1,1,21,20,51,140,5,28,15,40,21,64
1,790,77,0,1,A,1,15,1,0,18,24,67,92,11,8.36,12,15,18,68
1,793,125,0,1,E,1,14,4,1,15,37,103,214,21,10.19,18,16,15,123
0,804,137,0,1,A,3,6,4,2,21,38,93,114,25,4.56,4,7,21,124
0,826,65,0,1,A,1,13.11,9,8,12,22,72,220,19,11.58,11,16,4,65
0,836,65,0,0,A,1,29,2,0,26,18,45,148,6,24.67,16,31,26,64
0,867,77,0,0,A,1,18,1,0,17,23,63,93,7,13.29,8,18,17,77
1,894,65,0,1,S,4,19.4,10,5,12,36,105,580,34,17.06,20,21,4,64
0,898,77,0,1,S,2,9.75,4,2,19,28,76,122,18,6.78,8,10,19,67
0,903,41,0,1,A,3,5.75,4,4,16,13,33,42,10,4.2,9,5,16,64
0,905,65,0,0,A,1,15,1,0,18,18,54,51,5,10.2,10,15,18,64
0,908,65,0,0,A,1,19,2,0,21,27,70,155,12,12.92,17,20,21,64
0,917,101,0,1,A,1,11.67,3,2,20,35,89,194,20,9.7,15,10,20,90
0,919,77,0,1,S,3,6.8,5,4,18,21,52,79,12,6.58,5,7,18,69
1,931,65,0,1,A,4,5.78,9,5,11,32,85,153,30,5.1,4,7,11,64
1,959,89,0,1,A,1,10,3,3,24,27,71,73,10,7.3,10,15,24,88
0,968,65,0,0,A,1,15,2,1,18,23,59,63,7,9,15,20,18,61
0,970,77,0,1,A,4,5.25,4,3,16,30,76,91,18,5.06,1,5,16,65
1,971,29,0,1,S,4,8.2,10,6,15,27,68,150,20,7.5,8,8,4,63
0,985,89,0,1,S,2,13.33,3,2,24,23,62,110,10,11,10,15,18,88
1,987,89,0,1,S,4,3.33,9,6,11,31,83,79,21,3.76,5,4,7,82
1,1006,137,0,1,S,1,15.29,7,4,16,44,115,530,35,15.14,23,15,6,127
0,1007,137,0,1,S,3,7.75,8,7,17,45,116,276,46,6,7,9,17,131
1,1012,137,0,1,S,2,15.43,7,5,17,45,114,342,28,12.21,15,13,5,122
0,1030,137,0,1,S,3,9.14,7,5,20,33,91,269,50,5.38,10,9,20,130
1,1034,77,0,0,A,3,13.29,7,4,19,35,96,271,22,12.32,14,15,18,75
1,1042,113,0,1,A,4,10.6,5,3,15,25,67,147,16,9.19,12,9,15,105
0,1048,137,0,1,A,1,22,1,0,18,35,86,202,29,6.97,19,22,18,126
1,1054,137,0,1,S,3,7.8,5,2,19,30,75,126,20,6.3,7,9,19,129
1,1064,125,0,1,S,3,8.57,7,2,14,41,108,234,25,9.36,7,5,7,121
1,1068,137,0,1,S,4,5.83,6,6,20,34,100,265,43,6.16,7,5,18,126
0,1074,65,0,0,A,1,14.5,2,1,26,24,65,81,7,11.57,10,15,26,60
0,1085,125,0,1,A,1,11.43,7,6,12,34,92,284,26,10.92,20,15,12,124
1,1092,77,0,1,A,1,10.56,9,6,11,34,100,315,32,9.84,19,10,6,76
1,1101,101,0,1,A,2,14.88,8,4,13,37,104,278,24,11.58,17,15,9,92
1,1102,137,0,1,S,4,13.6,10,6,17,40,105,374,33,11.33,12,12,5,131
0,1154,29,0,0,A,1,12.5,2,2,24,10,29,35,3,11.67,15,20,24,59
0,1196,53,0,1,A,4,4.57,7,5,16,33,79,82,20,4.1,7,5,16,57
0,1198,17,0,0,F,1,13.33,3,1,17,15,46,65,5,13,5,15,5,57
0,1245,89,0,0,A,1,15,2,2,16,36,96,165,13,12.69,15,15,9,79
1,1249,77,0,1,A,1,11.4,5,3,13,35,88,122,13,9.38,17,11,7,69
1,1254,65,0,0,A,1,25,1,0,26,14,36,75,3,25,0,25,26,56
0,1258,125,0,0,A,1,21,1,1,18,27,75,99,11,9,16,21,18,110
0,1264,29,0,0,N,1,15,1,1,23,9,24,20,2,10,10,15,23,56
0,1280,137,0,1,A,2,29.2,5,2,18,34,82,282,13,21.69,30,30,18,121
0,1287,65,0,0,A,2,25,3,1,18,25,60,155,6,25.83,10,25,18,57
1,1292,29,0,1,A,2,9,3,2,18,15,40,38,5,7.6,10,7,18,57
1,1293,101,0,1,A,4,4.8,5,3,20,27,71,74,14,5.29,7,5,20,92
0,1298,89,0,1,A,4,19.71,7,5,21,38,99,311,22,14.14,25,20,18,89
0,1304,137,0,1,A,1,9.43,7,4,19,46,111,193,26,7.42,9,10,19,126
1,1322,77,0,1,A,2,13.5,4,2,24,36,94,174,14,12.43,5,14,7,73
0,1325,53,0,0,A,1,26.25,4,1,18,33,80,210,9,23.33,25,25,5,55
0,1329,29,0,0,N,3,13.33,3,1,17,13,36,45,4,11.25,11,14,17,55
0,1334,53,0,0,A,1,40,1,0,25,17,39,120,3,40,0,40,25,54
0,1348,65,0,0,A,4,10.5,4,2,17,21,62,77,8,9.63,6,10,15,57
0,1350,65,0,1,A,1,25,1,0,18,27,66,112,8,14,30,25,18,65
1,1357,137,0,1,S,3,13.9,10,6,15,41,102,224,21,10.67,22,18,15,126
0,1368,65,0,1,S,3,13.5,8,3,18,33,83,259,23,11.26,15,10,9,56
1,1371,53,0,0,A,3,20,3,1,19,20,50,100,5,20,0,20,19,53
0,1396,113,0,1,S,4,17.4,5,3,17,34,92,352,24,14.67,15,12,17,112
0,1397,65,0,0,A,3,11.75,4,3,17,32,81,104,10,10.4,10,15,17,57
0,1400,137,0,1,S,3,8.38,8,6,24,36,88,157,29,5.41,15,9,24,131
0,1414,77,0,1,A,1,22.5,2,0,9,21,67,119,7,17,15,25,9,76
0,1419,101,0,0,A,1,17.5,2,0,26,27,68,105,8,13.13,15,20,26,92
0,1431,53,0,1,A,4,10.38,8,3,15,27,69,135,17,7.94,16,19,15,52
0,1434,65,0,1,A,1,14.29,7,5,25,33,83,282,19,14.84,10,15,25,57
1,1442,29,0,1,A,2,20.13,8,6,17,26,78,350,19,18.42,15,25,6,53
0,1468,29,0,1,S,3,6.38,8,5,20,26,66,98,16,6.13,6,10,18,53
0,1477,65,0,0,A,3,14.33,3,1,17,24,66,106,8,13.25,6,14,17,55
0,1480,65,0,1,A,1,33.75,4,1,15,28,69,330,10,33,5,35,7,57
0,1485,65,0,0,A,1,19.5,2,2,17,25,64,78.46,7,11.21,18,23,17,56
0,1493,137,0,1,A,1,9,5,3,15,40,108,170,23,7.39,8,9,15,127
0,1495,125,0,1,A,1,92.5,2,1,18,37,94,595,10,59.5,75,100,18,123
0,1499,41,0,1,A,3,20.75,8,3,15,27,74,330,19,17.37,20,15,15,53
0,1502,65,0,0,A,1,15,1,0,18,16,45,47,4,11.75,5,15,18,57
0,1505,41,0,0,A,2,14,5,4,19,26,69,103,8,12.88,10,10,19,52
1,1544,53,0,0,A,1,20,1,0,18,17,45,52,4,13,10,20,18,52
0,1548,53,0,0,A,1,25,1,0,26,11,33,75,3,25,0,25,26,49
1,1549,53,0,0,A,1,50,1,1,24,12,35,150,3,50,0,50,24,49
1,1556,41,0,0,E,1,15,1,0,15,12,39,49,4,12.25,5,15,15,49
0,1611,137,0,1,A,1,13.2,5,4,18,44,108,227,26,8.73,18,5,4,128
1,1617,29,0,1,A,3,11.67,6,5,11,24,63,112,11,10.18,15,11,6,45
0,1628,17,0,0,E,1,15,1,1,15,9,25,20,2,10,10,15,15,44
0,1631,29,0,1,A,3,18.55,11,7,15,26,70,306,20,15.3,20,20,5,44
0,1635,89,0,1,A,1,15,1,0,26,26,72,62,8,7.75,10,15,26,80
1,1646,101,0,1,A,1,8.33,3,1,17,34,85,121,16,7.56,12,10,17,103
0,1652,41,0,0,A,1,26,2,2,20,22,56,112,5,22.4,12,27,20,40
0,1656,137,0,1,S,4,6.5,10,6,18,45,104,162,24,6.75,11,5,18,123
1,1673,137,0,1,A,1,12.8,5,4,21,46,107,310,32,9.69,15,14,21,127
1,1685,29,0,0,A,1,14,4,3,22,17,38,56,4,14,16,26,22,33
0,1703,29,0,0,A,1,13.33,3,3,22,15,40,40,3,13.33,10,20,22,33
0,1709,29,0,0,A,3,17,5,3,17,18,51,105,6,17.5,20,30,17,33
1,1722,125,0,1,A,1,14.29,7,4,11,37,103,348,26,13.38,15,20,5,120
1,1731,29,0,1,A,2,11.38,8,3,14,21,55,130,11,11.82,9,12,6,33
0,1742,29,0,0,A,1,11.67,3,2,19,15,38,35,3,11.67,5,15,19,33
0,1748,29,0,0,A,1,26,2,1,19,18,48,67,3,22.33,12,27,19,33
0,1765,137,0,1,S,3,5,6,4,22,25,60,84,18,4.67,7,10,18,130
1,1779,41,0,1,A,1,14.25,4,3,19,27,71,104,8,13,15,17,7,45
0,1789,65,0,1,S,3,10,10,6,17,26,64,225,25,9,5,10,17,65
0,1794,89,0,1,A,2,11,5,4,17,41,104,214,19,11.26,15,15,17,89
1,1799,77,0,1,A,4,7.25,8,6,16,32,88,194,21,9.24,13,9,4,75
0,1808,29,0,0,N,1,16.67,3,1,23,15,39,50,3,16.67,10,20,23,32
0,1818,65,0,1,A,1,18,2,1,28,28,73,118,11,10.73,15,15,18,57
0,1819,89,0,1,A,1,8.88,8,5,19,33,85,196,26,7.54,9,10,18,88
0,1832,29,0,1,A,2,21.67,6,5,17,22,56,180,8,22.5,23,27,17,32
0,1863,101,0,1,S,3,10,6,3,16,25,61,96,13,7.38,12,12,16,101
0,1889,29,0,1,A,4,10.67,6,6,17,21,56,113,13,8.69,12,10,6,32
0,1893,125,0,1,S,2,9,5,4,16,36,87,198,27,7.33,7,10,16,123
1,1899,89,0,1,A,2,10.75,4,3,15,25,67,92,9,10.22,11,12,15,85
0,1902,41,0,1,A,1,14.33,6,4,15,25,63,112,8,14,15,20,15,44
0,1909,125,0,1,S,4,3.18,11,4,-10,34,88,97,32,3.03,3,3,16,122
0,1913,29,0,1,A,3,17.5,4,3,17,19,45,110,7,15.71,10,20,7,32
1,1920,137,0,1,A,2,9,7,4,17,35,98,214.5,31,6.92,12,10,6,123
1,1925,29,0,0,A,1,18.33,3,2,23,17,44,55,3,18.33,10,25,23,33
1,1927,89,0,0,A,1,15,2,1,19,25,73,80,6,13.33,5,15,19,87
0,1928,65,0,1,A,3,4.88,8,7,22,21,47,68,15,4.53,8,5,22,57
1,1959,17,0,0,F,1,35,3,2,15,14,41,105,3,35,25,30,15,29
0,1962,29,0,1,A,2,11.75,4,3,21,18,47,47,4,11.75,5,15,21,33
0,1968,113,0,1,A,1,10.5,4,4,17,31,77,95,9,10.56,12,15,17,105
0,1970,113,0,1,A,2,6.17,6,4,17,31,74,80,16,5,8,10,17,102
0,1973,77,0,1,A,4,6.33,6,2,19,28,79,132,13,10.15,20,11,10,68
0,1975,17,0,0,N,3,12,4,2,15,13,42,48,4,12,6,12,15,29
0,1979,17,0,0,N,3,8.33,3,2,16,15,38,36,5,7.2,5,6,15,45
0,1985,125,0,1,A,1,10.5,2,2,24,35,95,341,34,10.03,11,11,24,125
1,1986,137,0,1,S,3,6.75,8,3,16,45,111,161,29,5.55,6,6,6,128
0,2018,89,0,1,A,2,8.6,5,2,16,33,83,118,16,7.38,9,7,16,86
1,2020,137,0,1,S,3,8.67,9,2,11,42,106,294,40,7.35,9,8,11,129
0,2027,77,0,1,S,1,36.25,8,2,16,34,90,492,16,30.75,35,40,16,75
0,2052,41,0,1,A,4,8,5,3,17,17,44,50,7,7.14,5,10,17,38
0,2058,29,0,1,E,4,12,5,3,19,13,42,75,6,12.5,5,15,16,33
0,2063,29,0,0,A,3,14,6,2,17,20,52,94,7,13.43,10,20,17,29
1,2081,113,0,1,A,1,7.82,11,7,12,36,88,384,49,7.84,9,8,4,106
1,2085,65,0,1,A,2,19.67,6,4,12,31,85,251,13,19.31,18,20,7,64
0,2087,41,0,1,A,4,6.44,9,4,15,23,62,94,15,6.27,6,5,15,40
0,2097,113,0,1,A,1,16.33,3,2,25,37,87,178,14,12.71,15,18,25,110
0,2113,65,0,1,S,2,9.67,6,4,25,25,60,156,20,7.8,7,10,25,57
1,2151,113,0,1,S,3,24.17,6,4,18,36,98,832,40,20.8,30,25,18,110
1,2153,137,0,1,S,2,8.83,6,5,11,39,93,234,31,7.55,11,9,8,126
1,2154,137,0,1,A,1,16.6,5,5,17,33,77,291,15,19.4,30,12,17,112
1,2159,113,1,1,A,1,12.33,3,2,19,34,81,139,15,9.27,14,10,5,105
0,2162,101,0,1,A,1,10.5,4,2,19,28,78,126,13,9.69,10,7,19,93
0,2166,137,0,1,S,4,10.14,7,3,18,32,69,133,17,7.82,8,11,18,124
0,2168,41,0,1,A,3,10.57,7,4,18,23,55,101,11,9.18,7,12,18,45
1,2170,101,0,1,S,2,8.57,7,7,11,35,90,213,28,7.61,9,8,11,97
1,2194,65,0,1,S,4,4.43,7,6,12,25,59,61,15,4.07,3,4,12,63
0,2211,17,0,0,F,1,21.5,2,2,16,12,30,63,3,21,3,20,6,21
1,2231,41,0,1,S,4,12.11,9,7,11,18,45,114,10,11.4,14,15,11,38
0,2233,77,0,1,A,4,5.5,6,4,17,21,56,68,13,5.23,4,5,7,76
1,2235,77,0,1,S,1,16.67,6,5,17,29,76,178,17,10.47,22.5,25,6,69
0,2238,113,0,1,S,2,12.8,5,4,15,35,86,144,16,9,12,7,15,110
0,2242,29,0,0,N,2,12.5,2,2,20,15,40,55,3,18.33,20,10,20,24
0,2244,77,0,1,A,1,18.33,3,3,21,25,70,160,9,17.78,15,20,6,75
0,2252,41,0,1,S,3,8.75,8,6,13,19,52,73,10,7.3,12,13,13,41
1,2262,137,0,1,S,2,7.86,7,6,12,37,96,235,36,6.53,8,3,12,126
0,2289,89,0,1,S,4,6.73,11,7,11,28,72,134,20,6.7,8,3,11,89
0,2291,65,0,1,S,4,4.4,10,7,11,23,64,117,28,4.18,6,2,11,65
0,2298,89,0,0,A,1,10,2,2,21,26,66,92,10,9.2,10,5,21,86
1,2311,65,0,0,A,4,6,7,3,15,27,66,80,15,5.33,7,7,7,62
0,2314,89,0,1,A,1,8.17,6,3,13,29,83,204,23,8.87,22,10,13,81
1,2315,137,0,0,A,1,8,2,2,21,18,51,181,14,12.93,22,10,5,123
1,2320,89,0,1,S,3,4.63,8,6,16,31,81,119,31,3.84,9,3,16,88
1,2321,113,0,1,S,2,26.25,4,3,18,35,95,580,15,38.67,55,25,9,113
0,2334,89,0,1,A,4,11,7,5,12,32,83,198,17,11.65,11,10,9,87
0,2339,137,0,1,S,3,5,8,5,15,36,86,103,26,3.96,8,5,15,127
0,2340,41,0,0,A,1,13,2,2,21,21,49,71,5,14.2,6,16,21,41
1,2365,53,0,1,A,4,5,9,7,12,23,60,64,14,4.57,8,4,12,53
1,2379,65,0,1,A,1,15,2,1,18,26,66,87,8,10.88,15,12,8,63
0,2384,89,0,1,A,3,14.2,5,2,12,20,56,82,8,10.25,17,15,12,79
0,2393,65,0,1,A,4,5.11,9,5,15,18,45,61,12,5.08,4,5,15,54
1,2396,5,0,0,N,3,7.5,2,1,21,6,21,25,3,8.33,5,10,18,21
0,2398,53,0,1,A,1,20.2,5,3,11,25,62,185,9,20.56,18,12,8,52
1,2408,113,0,1,S,4,8,7,4,18,29,74,146,16,9.13,17,11,18,105
1,2415,17,0,0,F,1,17.5,2,1,16,12,27,35,2,17.5,15,25,16,20
0,2425,125,0,1,A,1,20,4,0,19,25,70,245,23,10.65,20,25,19,123
0,2431,101,0,1,A,2,14.75,4,2,8,29,72,165,11,15,19,5,8,89
0,2444,137,0,1,A,1,17.5,2,1,16,35,85,136,13,10.46,20,25,16,128
0,2451,17,0,1,F,1,17.5,2,2,17,11,28,70,3,23.33,20,35,9,20
1,2464,77,0,1,S,4,8.18,11,6,13,29,75,266,34,7.82,6,8,6,77
0,2466,77,0,1,A,1,7.5,8,3,12,26,65,96,14,6.86,12,8,5,67
1,2490,137,0,1,S,4,4.18,11,6,17,31,74,104.01,31,3.36,4.99,3,7,128
0,2491,89,0,1,A,3,10,5,0,15,31,77,217,15,14.47,20,14,4,83
0,2492,77,0,1,N,2,12,6,4,20,30,78,119,13,9.15,13,10,6,76
0,2495,65,0,1,A,4,13.57,7,4,15,28,71,185,17,10.88,15,17,15,65
1,2499,137,1,1,A,3,6.8,5,0,18,32,72,79,14,5.64,5,5,4,126
0,2501,17,0,0,F,1,13.67,3,2,15,10,26,41,3,13.67,6,16,15,20
0,2503,17,0,1,N,1,13.33,3,1,13,8,23,55,4,13.75,5,15,9,20
0,2510,17,0,0,F,1,16.67,3,1,13,10,27,50,3,16.67,3,17,13,20
1,2512,17,0,0,F,1,25,2,1,16,11,28,50,2,25,0,25,16,20
1,2519,29,0,0,A,4,9.29,7,5,11,18,48,85,9,9.44,10,10,6,33
0,2525,17,0,1,F,1,10.5,4,1,12,10,29,49,5,9.8,17,7,8,20
0,2544,41,0,0,A,2,26.5,6,2,13,21,54,189,8,23.63,35,25,13,44
0,2561,89,0,1,A,1,12.5,2,1,18,28,69,116,11,10.55,10,15,18,86
0,2567,17,0,1,F,1,17.67,3,2,12,11,29,71,4,17.75,13,18,11,20
1,2583,77,0,1,A,4,4.78,9,5,14,25,62,76,16,4.75,2,5,14,75
1,2586,19,0,0,F,1,20,1,1,18,10,26,60,3,20,10,25,6,19
0,2593,29,0,0,N,1,11.5,2,2,19,6,16,23,2,11.5,17,3,19,24
1,2596,29,0,0,N,1,18.88,4,2,6,10,30,110.5,6,18.42,15,20.5,6,23
0,2599,17,0,1,F,1,12.5,2,2,15,10,25,41,3,13.67,6,16,8,19
0,2609,101,0,1,A,1,8.5,2,2,18,26,73,165,20,8.25,7,5,18,90
0,2615,113,0,0,A,1,23.33,3,1,18,29,68,167,8,20.88,15,25,6,105
0,2623,17,0,1,N,2,28.33,3,2,6,14,35,110,4,27.5,10,35,6,21
0,2628,17,0,0,N,2,11.67,3,2,16,12,26,35,3,11.67,10,15,16,18
0,2640,17,0,0,F,1,15,2,1,17,12,29,37,3,12.33,20,7,10,20
1,2643,41,0,1,S,3,18.57,7,5,13,20,52,175,10,17.5,20,20,5,45
0,2651,137,0,1,S,2,10,4,4,16,39,89,141.5,20,7.08,7.5,10,16,125
0,2678,89,0,1,S,3,5,9,9,12,29,71,117,25,4.68,3,5,9,78
0,2687,137,0,1,S,4,6.5,8,7,8,36,92,193,31,6.23,7,3,8,126
1,2691,29,0,0,N,4,11.75,4,2,17,12,38,82,8,10.25,21,10,5,23
0,2693,41,0,0,A,2,11.25,4,2,16,20,52,82,8,10.25,10,12,5,41
0,2749,53,0,1,A,4,12.78,9,6,12,23,68,172,15,11.47,15,20,6,53
1,2757,77,0,1,S,3,9,4,3,17,28,71,142,17,8.35,6,5,17,76
1,2781,17,0,0,F,1,15,1,1,17,7,18,18,2,9,12,15,17,17
